Date,Power (kW),Temperature (ºC),Humidity (%),Pressure (mbar),Rain (mm/h),Day of Week,Hour,Day Type,Power-1 (kW),Power-2 (kW),HDH (hºC)
2017-01-01 02:00:00,117.9729915,7.263416666666667,80.27499999999999,1028.0,0.0,6,2,7,119.1906989,117.823342,8.736583333333332
2017-01-01 03:00:00,116.4132879,6.831333333333333,81.33333333333333,1028.0,0.0,6,3,7,117.9729915,119.1906989,9.168666666666669
2017-01-01 04:00:00,116.1723836,6.50025,81.24166666666666,1028.0,0.0,6,4,7,116.4132879,117.9729915,9.49975
2017-01-01 05:00:00,114.8782817,6.0064166666666665,81.00833333333334,1028.0,0.0,6,5,7,116.1723836,116.4132879,9.993583333333332
2017-01-01 06:00:00,116.1282213,5.645833333333333,80.44166666666666,1027.0,0.0,6,6,7,114.8782817,116.1723836,10.354166666666668
2017-01-01 07:00:00,116.1114773,5.47775,80.19166666666666,1027.0,0.0,6,7,7,116.1282213,114.8782817,10.52225
2017-01-01 08:00:00,112.4997965,5.41025,80.35833333333333,1027.0,0.0,6,8,7,116.1114773,116.1282213,10.58975
2017-01-01 09:00:00,112.9510473,5.480583333333333,80.09166666666667,1027.0,0.0,6,9,7,112.4997965,116.1114773,10.519416666666668
2017-01-01 10:00:00,112.7486542,6.0168333333333335,78.79166666666667,1027.0,0.0,6,10,7,112.9510473,112.4997965,9.983166666666666
2017-01-01 11:00:00,112.3430308,6.882416666666667,76.29166666666667,1026.1666666666667,0.0,6,11,7,112.7486542,112.9510473,9.117583333333332
2017-01-01 12:00:00,113.6214352,7.56,75.31666666666666,1025.1666666666667,0.0,6,12,7,112.3430308,112.7486542,8.440000000000001
2017-01-01 13:00:00,113.8309445,8.73,72.74916666666667,1023.6666666666666,0.0,6,13,7,113.6214352,112.3430308,7.27
2017-01-01 14:00:00,114.5270763,9.809166666666666,70.03083333333333,1023.0,0.0,6,14,7,113.8309445,113.6214352,6.190833333333334
2017-01-01 15:00:00,114.3096136,9.735833333333334,71.41083333333333,1022.25,0.0,6,15,7,114.5270763,113.8309445,6.264166666666666
2017-01-01 16:00:00,117.1276288,9.525833333333331,73.75833333333334,1022.0,0.0,6,16,7,114.3096136,114.5270763,6.474166666666667
2017-01-01 17:00:00,116.887771,8.9725,76.35833333333333,1022.0,0.0,6,17,7,117.1276288,114.3096136,7.0275
2017-01-01 18:00:00,118.3451269,8.865,76.30833333333334,1021.5833333333334,0.0,6,18,7,116.887771,117.1276288,7.135
2017-01-01 19:00:00,117.9116666,8.984166666666667,75.88333333333334,1021.0,0.0,6,19,7,118.3451269,116.887771,7.015833333333333
2017-01-01 20:00:00,125.8803455,9.186666666666667,76.85833333333333,1020.0,0.0,6,20,7,117.9116666,118.3451269,6.813333333333333
2017-01-01 21:00:00,126.0302043,9.174166666666666,78.60000000000001,1019.3333333333334,0.0,6,21,7,125.8803455,117.9116666,6.825833333333334
2017-01-01 22:00:00,125.6538829,10.0075,77.71666666666667,1018.9166666666666,0.0,6,22,7,126.0302043,125.8803455,5.9925
2017-01-01 23:00:00,126.1955513,9.882307692307691,80.23846153846154,1018.0,0.0,6,23,7,125.6538829,126.0302043,6.117692307692307
2017-01-02 00:00:00,126.10325,9.471666666666666,83.45833333333333,1017.0833333333334,0.0,0,0,0,126.1955513,125.6538829,6.528333333333334
2017-01-02 01:00:00,128.5286184,10.209166666666668,84.08333333333333,1015.9166666666666,0.0,0,1,0,126.10325,126.1955513,5.7908333333333335
